Decade,Rating,Number of Rating
90s,4.21,38588
90s,4.04,16206
90s,4.03,5058
90s,3.92,13084
90s,3.94,1599
90s,3.91,4674
90s,3.89,7013
90s,3.89,4820
90s,3.83,12515
90s,3.88,1904
90s,3.83,7043
90s,3.86,761
90s,3.84,1884
90s,3.83,3865
90s,3.85,635
90s,3.88,214
90s,3.84,1040
90s,3.82,2930
90s,3.83,1039
90s,3.83,918
90s,3.77,9159
90s,3.79,1948
90s,3.75,513
90s,3.78,4271
90s,3.78,1238
90s,3.79,953
90s,3.77,1561
90s,3.77,2242
90s,3.75,3873
90s,3.79,566
90s,3.74,6210
90s,3.77,941
90s,3.76,1953
90s,3.75,1272
90s,3.77,719
90s,3.77,273
90s,3.74,646
90s,3.7,2957
90s,3.73,1336
90s,3.69,8594
90s,3.74,405
90s,3.74,586
90s,3.74,532
90s,3.73,1086
90s,3.74,279
90s,3.73,249
90s,3.74,204
90s,3.72,379
90s,3.71,866
90s,3.71,550
90s,3.68,3588
90s,3.69,1050
90s,3.68,3945
90s,3.69,1740
90s,3.7,499
90s,3.66,6395
90s,3.67,2831
90s,3.73,197
90s,3.69,643
90s,3.68,724
90s,3.73,187
90s,3.7,492
90s,3.68,632
90s,3.69,433
90s,3.68,1045
90s,3.67,1076
90s,3.69,259
90s,3.69,440
90s,3.65,2906
90s,3.66,1581
90s,3.66,971
90s,3.63,2923
90s,3.66,1206
90s,3.7,226
90s,3.67,443
90s,3.65,1125
90s,3.66,830
90s,3.67,621
90s,3.66,473
90s,3.66,354
90s,3.65,645
90s,3.65,1536
90s,3.67,428
90s,3.7,202
90s,3.68,264
90s,3.64,694
90s,3.63,1151
90s,3.64,946
90s,3.63,1327
90s,3.65,902
90s,3.65,618
90s,3.65,620
90s,3.64,896
90s,3.66,393
90s,3.68,213
90s,3.64,731
90s,3.65,426
90s,3.64,376
90s,3.64,1005
90s,3.66,247
00s,4.04,16702
00s,4.02,19635
00s,4.02,12484
00s,3.99,18080
00s,3.97,7619
00s,3.97,3248
00s,3.89,18479
00s,3.89,15069
00s,3.9,11203
00s,3.86,12039
00s,3.86,11486
00s,3.84,10403
00s,3.85,5521
00s,3.85,5200
00s,3.85,3226
00s,3.82,7793
00s,3.83,4634
00s,3.84,1613
00s,3.82,1837
00s,3.82,1723
00s,3.83,1203
00s,3.83,891
00s,3.8,5053
00s,3.82,585
00s,3.83,379
00s,3.81,603
00s,3.77,5874
00s,3.83,236
00s,3.81,267
00s,3.77,2562
00s,3.75,7336
00s,3.79,543
00s,3.77,1902
00s,3.8,313
00s,3.77,1896
00s,3.77,1102
00s,3.8,304
00s,3.76,1980
00s,3.88,176
00s,3.78,348
00s,3.75,2126
00s,3.76,1692
00s,3.76,1600
00s,3.74,2982
00s,3.73,4193
00s,3.71,4297
00s,3.76,625
00s,3.73,3447
00s,3.75,905
00s,3.74,1236
00s,3.77,265
00s,3.75,510
00s,3.74,773
00s,3.77,179
00s,3.72,2580
00s,3.72,3302
00s,3.74,529
00s,3.73,851
00s,3.77,244
00s,3.75,327
00s,3.72,1447
00s,3.72,1846
00s,3.72,1733
00s,3.76,212
00s,3.72,2209
00s,3.7,2052
00s,3.72,676
00s,3.69,6014
00s,3.75,283
00s,3.75,231
00s,3.72,1164
00s,3.7,2451
00s,3.73,330
00s,3.71,1072
00s,3.71,1424
00s,3.68,2488
00s,3.69,2146
00s,3.69,2156
00s,3.7,1111
00s,3.68,987
00s,3.7,741
00s,3.7,1080
00s,3.69,865
00s,3.73,302
00s,3.66,3499
00s,3.69,1621
00s,3.66,4287
00s,3.7,620
00s,3.91,158
00s,3.67,1002
00s,3.69,1329
00s,3.69,1017
00s,3.69,1345
00s,3.69,719
00s,3.7,289
00s,3.68,1421
00s,3.67,1844
00s,3.67,1247
00s,3.7,424
00s,3.71,306
10s,4.01,12005
10s,3.86,11270
10s,3.88,2449
10s,3.87,4792
10s,3.85,6514
10s,3.82,1821
10s,3.84,751
10s,3.79,5296
10s,3.83,516
10s,3.8,1648
10s,3.78,4301
10s,3.76,7445
10s,3.79,1043
10s,3.76,5562
10s,3.76,3738
10s,3.77,2165
10s,3.78,787
10s,3.72,8965
10s,3.76,3196
10s,3.78,255
10s,3.73,3857
10s,3.72,3513
10s,3.79,222
10s,3.73,1429
10s,3.74,1234
10s,3.73,1477
10s,3.74,963
10s,3.76,331
10s,3.75,412
10s,3.73,706
10s,3.69,8764
10s,3.74,522
10s,3.73,935
10s,3.77,195
10s,3.73,629
10s,3.71,2223
10s,3.7,903
10s,3.77,189
10s,3.71,744
10s,3.73,354
10s,3.7,3588
10s,3.69,2556
10s,3.71,1041
10s,3.72,316
10s,3.73,326
10s,3.71,448
10s,3.71,302
10s,3.73,250
10s,3.7,1336
10s,3.71,541
10s,3.71,531
10s,3.67,3681
10s,3.69,1278
10s,3.65,8606
10s,3.68,4233
10s,3.69,972
10s,3.72,280
10s,3.69,571
10s,3.69,446
10s,3.69,354
10s,3.66,3215
10s,3.7,343
10s,3.7,191
10s,3.69,275
10s,3.7,283
10s,3.68,490
10s,3.67,879
10s,3.69,364
10s,3.66,741
10s,3.66,938
10s,3.67,404
10s,3.65,777
10s,3.68,206
10s,3.65,436
10s,3.64,2594
10s,3.63,4074
10s,3.65,1405
10s,3.66,522
10s,3.63,722
10s,3.66,448
10s,3.66,426
10s,3.65,702
10s,3.63,525
10s,3.67,213
10s,3.64,562
10s,3.63,942
10s,3.67,249
10s,3.66,214
10s,3.63,1316
10s,3.65,315
10s,3.62,2800
10s,3.64,430
10s,3.61,2746
10s,3.63,1089
10s,3.63,557
10s,3.6,1633
10s,3.63,567
10s,3.62,1544
10s,3.76,175
10s,3.62,608
