Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year,Genre
1,0,Ichiko Aoba,4.01,12005,2013,"Contemporary Folk,Singer-Songwriter,Field Recordings,Avant-Folk,Progressive Folk"
2,The Ghost~Pop Tape,Devon Hendryx,3.86,11270,2013,"Alternative R&B,Ambient Pop,Art Pop,Hypnagogic Pop,Vaporwave,Cloud Rap,Downtempo,Experimental Hip Hop"
3,アンハッピーリフレイン (Unhappy Refrain),wowaka,3.88,2449,2011,"J-Rock,Post-Hardcore,Math Pop,Math Rock,Dance-Punk"
4,かがやき (Kagayaki),Masakatsu Takagi,3.87,4792,2014,"Chamber Folk,Neoclassical,New Age,Nature Recordings,Field Recordings,Japanese Folk Music,Min'yō,Ambient"
5,qp,Ichiko Aoba,3.85,6514,2018,"Contemporary Folk,Singer-Songwriter"
6,放課後ティータイムII (Ho-kago Tea Time Second),Hokago Tea Time,3.82,1821,2010,"Power Pop,J-Rock,Television Music,Pop Punk"
7,The Legend of Zelda: 25th Anniversary Special Orchestra CD,Koji Kondo,3.84,751,2011,"Video Game Music,Orchestral Music,Cinematic Classical"
8,つまんね (Tsumanne),Shinsei Kamattechan,3.79,5296,2010,"Noise Pop,J-Rock,Shoegaze,Dream Pop,Neo-Psychedelia,Emo,Denpa"
9,Never More -Reincarnation: Persona 4- (ネバー＊モア ─「ペルソナ4」輪廻転生─),Shoji Meguro,3.83,516,2011,"Video Game Music,Pop Rock,Jazz Pop,Dance-Pop,J-Pop"
10,東京ユウトピア通信 (Tokyo Utopia Tsushin),Lamp,3.8,1648,2011,"Shibuya-kei,Jazz Pop,Lounge,Progressive Pop,Sophisti-Pop"
11,剃刀乙女 (Kamisori otome),Ichiko Aoba,3.78,4301,2010,"Contemporary Folk,Singer-Songwriter"
12,T H E,tricot,3.76,7445,2013,"J-Rock,Math Pop,Math Rock,Post-Hardcore"
13,Never,Think Again,3.79,1043,2012,"Japanese Hardcore,Burning Spirits,Crust Punk"
14,Eureka,Kinoko Teikoku,3.76,5562,2013,"Indie Rock,Shoegaze,Dream Pop,Post-Rock,J-Rock"
15,ゆめ (Yume),Lamp,3.76,3738,2014,"Shibuya-kei,Sophisti-Pop,Chamber Pop,Jazz Pop,Lounge,Progressive Pop,Smooth Jazz"
16,渦になる (Uzu ni naru),Kinoko Teikoku,3.77,2165,2012,"Indie Rock,Shoegaze,Post-Rock,Dream Pop,J-Rock"
17,第二幕 (Dai-ni-maku),Kikuohana,3.78,787,2017,"Art Pop,Electronic,Dark Cabaret,Breakcore,Jazz Pop,Neoclassical Darkwave,Progressive Pop"
18,Fetch,Melt-Banana,3.72,8965,2013,"Noise Rock,Experimental Rock,Art Punk,Glitch"
19,マホロボシヤ (Mahoroboshiya),Ichiko Aoba,3.76,3196,2016,"Contemporary Folk,Singer-Songwriter"
20,おむすひ (Omusuhi),Masakatsu Takagi,3.78,255,2013,"Neoclassical,New Age,Nature Recordings,Chamber Folk,Ambient,Field Recordings,Electronic"
21,エアにに (Air ni ni),Hakushi Hasegawa 長谷川白紙,3.73,3857,2019,"Progressive Pop,Jazz Pop,Nu Jazz"
22,燃えない灰 (Moenai Hai),The Gerogerigegege,3.72,3513,2016,"Dark Ambient,Noise Rock,Field Recordings,Drone,Musique concrète,Reductionism"
23,Гипноза (Gipnoza),核P-Model,3.79,222,2013,"Electropop,Art Pop,Zolo,Electro-Industrial"
24,Dum Spiro Spero,Dir en Grey,3.73,1429,2011,"Progressive Metal,Avant-Garde Metal,Alternative Metal,Deathcore,Doom Metal"
25,Arche,Dir en Grey,3.74,1234,2014,"Alternative Metal,Visual kei,Progressive Metal,Avant-Garde Metal,Post-Metal"
26,予襲復讐 (Yoshū fukushū),Maximum the Hormone マキシマム ザ ホルモン,3.73,1477,2013,"Alternative Metal,Pop Punk,Metalcore,Japanese Hardcore,J-Rock,Funk Metal"
27,Piece of Cipher +,Electrocutica,3.74,963,2013,"Art Pop,Indietronica,Electronic,IDM,Glitch Pop,Breakbeat,Artcore"
28,渋夜旅 (Shibu-yotabi),Shibusashirazu 渋さ知らズ,3.76,331,2010,"Experimental Big Band,Jazz-Rock,Jazz Fusion"
29,回=回 (Kai=Kai),Kaku P-Model 核P-Model,3.75,412,2018,"Electro-Industrial,Art Pop,Electropop,Industrial Rock"
30,Continuum Unbound,Michael Pisaro-Liu,3.73,706,2014,"Nature Recordings,Musique concrète,Drone,Bird Sounds,Indeterminacy"
31,春と修羅 (Haru to shura),Haru Nemuri 春ねむり,3.69,8764,2018,"Noise Pop,J-Rock,Japanese Hip Hop,Post-Hardcore,Noise Rock,Art Rock,J-Pop"
32,Alive,The Trio Project,3.74,522,2014,"Jazz Fusion,Post-Bop"
33,楽しいね (Tanoshiine),Shinsei Kamattechan 神聖かまってちゃん,3.73,935,2012,"Noise Pop,J-Rock,Power Pop,Neo-Psychedelia,Shoegaze"
34,陽だまり,Uwanosora ウワノソラ,3.77,195,2017,"Shibuya-kei,City Pop,Jazz Pop,Sophisti-Pop"
35,第一幕 (Dai-ichi-maku),Kikuohana きくおはな,3.73,629,2016,"Art Pop,Jazz Pop,Classical Crossover,Folktronica,Breakcore,Dark Cabaret"
36,きくおミク6 (Kikuo Miku 6),Kikuo きくお,3.71,2223,2019,"Art Pop,Progressive Pop,Glitch Pop,Dark Cabaret,Future Bass,Musette"
37,Angel of Salvation,Galneryus,3.7,903,2012,"Power Metal,Symphonic Metal,Neoclassical Metal,Progressive Metal"
38,Distant Worlds II: More Music From Final Fantasy,Nobuo Uematsu 植松伸夫,3.77,189,2010,"Video Game Music,Orchestral Music,Cinematic Classical"
39,Creation and Destroy,D-Clone,3.71,744,2012,"Japanese Hardcore,D-Beat,Thrashcore,Crust Punk"
40,ねむるピンクノイズ (Sleeping Pink Noise),iyowa いよわ,3.73,354,2019,"Glitch Pop,J-Pop,J-Rock,Math Pop"
41,Hades (The Nine Stages of Change at the Deceased Remains),My Dead Girlfriend 死んだ僕の彼女,3.7,3588,2015,"Shoegaze,Noise Pop,Dream Pop,J-Rock"
42,プラトニック プラネット (Platonic Planet),KOTO,3.69,2556,2015,"J-Pop,Electropop,Dance-Pop,Bitpop,Electro-Disco"
43,Sonasile,Shohei Amimori 網守将平,3.71,1041,2016,"Glitch Pop,IDM,Modern Classical,Nu Jazz,Progressive Electronic,Shibuya-kei"
44,Coin Locker Baby,Maretu,3.72,316,2016,"Electropop,J-Rock,Pop Rock,Nintendocore,Alternative Rock,Melodic Metalcore,Melodic Dubstep"
45,Far East Hardcore Punk,Enslave,3.73,326,2011,"Japanese Hardcore,Burning Spirits,Neocrust,Crust Punk"
46,Phant Solo II,Taishi,3.71,448,2018,"Artcore,Cinematic Classical,Tribal Ambient,Drum and Bass,Glitch,Epic Music"
47,Scenes of Infinity,Light Bringer,3.71,302,2013,"Power Metal,Symphonic Metal,Progressive Metal,Jazz Fusion"
48,ホログラムを登る男 (Horoguramu wo Noboru Otoko),Susumu Hirasawa 平沢進,3.73,250,2015,"Electropop,Art Pop,Synthpop,Progressive Pop,Classical Crossover"
49,Travel,Jun Konagaya,3.7,1336,2014,"Post-Industrial,Neoclassical Darkwave,Dark Ambient,Martial Industrial,Ambient,Avant-Folk,Drone"
50,Moondiver,Tokyo Shoegazer,3.71,541,2019,"Shoegaze,Dream Pop,Post-Rock"
51,Voice,Hiromi / The Trio Project featuring Anthony Jackson and Simon Phillips,3.71,531,2011,"Jazz Fusion,Jazz-Rock,Post-Bop"
52,歳時記 (Saijiki),3776,3.67,3681,2019,"Progressive Pop,Art Pop,Glitch Pop,J-Pop,Japanese Folk Music,Synthpop,Experimental"
53,>(decrescendo),The Gerogerigegege,3.69,1278,2019,"Ambient,Field Recordings,Insect Sounds,Nature Recordings,Reductionism,Drone"
54,いてこまヒッツ (Itekoma Hits),Otoboke Beaver おとぼけビ～バ～,3.65,8606,2019,"Hardcore Punk,Noise Rock,Riot Grrrl,Garage Punk,Art Punk,Sass"
55,Async,Ryuichi Sakamoto,3.68,4233,2017,"Ambient,Modern Classical,Electroacoustic,Field Recordings"
56,きくおミク3 (Kikuo Miku 3),Kikuo きくお,3.69,972,2013,"Art Pop,Electropop,Folktronica,Glitch Pop,Nu Jazz,Musette"
57,Vampir,Unlucky Morpheus,3.72,280,2015,"Power Metal,Neoclassical Metal,Symphonic Metal"
58,AWARD STROBE HELLO,Siinamota 椎名もた,3.69,571,2011,"J-Pop,Glitch Pop,Indietronica,Bitpop"
59,グレイテスト・アイドル (Greatest Idol),Mitchie M feat. 初音ミク,3.69,446,2013,"J-Pop,Electropop,Dance-Pop,Nu-Disco"
60,○△□,88Kasyo Junrei 八十八ヶ所巡礼,3.69,354,2012,"Post-Hardcore,Math Rock,Art Punk,Noise Rock,Psychedelic Rock,Progressive Rock"
61,Crystallize,Tokyo Shoegazer 東京酒吐座,3.66,3215,2011,"Shoegaze,Dream Pop,Post-Rock,Noise Rock"
62,DocumentaLy,Sakanaction サカナクション,3.7,343,2011,"Indie Rock,Electropop,J-Rock,Dance-Punk,Alternative Dance,House"
63,零号,PinocchioP ピノキオピー,3.7,191,2019,"Electropop,J-Pop,Electronic Dance Music,Synthpop"
64,KIKUOWORLD3,Kikuo きくお,3.69,275,2013,"Wonky,Brostep,Folktronica,Artcore,Drum and Bass,Progressive Electronic"
65,生きる (Ikiru),Siinamota 椎名もた,3.7,283,2015,"J-Pop,J-Rock,Alternative Rock,Glitch Pop"
66,Draw,Draw the Emotional,3.68,490,2018,"Post-Hardcore,Alternative Metal,Math Rock,Melodic Metalcore,Emo,J-Rock"
67,3776を聴かない理由があるとすれば (3776 wo kikanai riyuu ga aru to sureba),3776,3.67,879,2015,"Art Pop,Progressive Pop,Spoken Word,Post-Punk,Synthpop,Indie Pop,Math Pop"
68,Arkhē,Lemm,3.69,364,2012,"Glitch Pop,Art Pop,IDM,Breakcore,Artcore,Ambient Pop,Progressive Pop"
69,Resurrection,Galneryus,3.66,741,2010,"Power Metal,Progressive Metal,Neoclassical Metal,Symphonic Metal"
70,Still a Sigure Virgin?,Ling Tosite Sigure 凛として時雨,3.66,938,2010,"Post-Hardcore,J-Rock,Math Rock,Emo"
71,Maha,Grim,3.67,404,2015,"Industrial,Post-Industrial,Dark Ambient,Death Industrial,Tribal Ambient,Electronic,Avant-Folk"
72,Vengeance for Nothing,Blunt Force Trauma,3.65,777,2012,"Slam Death Metal,Brutal Death Metal,Deathcore"
73,Ash Crow,Susumu Hirasawa 平沢進,3.68,206,2016,"Television Music,Art Pop,Electronic,Classical March,Orchestral Music,Electro-Industrial,Neoclassical Darkwave"
74,Stories That Last Through the Sleepless Nights,Foreground Eclipse,3.65,436,2013,"Melodic Metalcore,Post-Hardcore,Electronicore,Video Game Music,J-Pop"
75,Arkhaiomelisidonophunikheratos,Satanicpornocultshop,3.64,2594,2010,"Glitch Pop,Art Pop,Folktronica,Plunderphonics,Glitch,Chamber Pop,Breakcore"
76,Shinsekai,Midori ミドリ,3.63,4074,2010,"Hardcore Punk,Art Punk,Jazz Fusion,Noise Rock,Jazz Pop"
77,Freeform Jazz,Uyama Hiroto,3.65,1405,2016,"Nu Jazz,Instrumental Hip Hop,Spiritual Jazz,Jazz Rap"
78,発見集,Okina 翁,3.66,522,2014,"Shoegaze,Post-Hardcore,J-Rock,Math Rock,Noise Pop"
79,Verrucous Carcinoma,Viscera Infest,3.63,722,2015,"Brutal Death Metal,Goregrind"
80,平成 (Heisei),Yuta Orisaka 折坂悠太,3.66,448,2018,"Singer-Songwriter,Folk Pop,Progressive Pop,New Music,Kayōkyoku,Jazz"
81,Millennium Mother,Mili,3.66,426,2018,"Art Pop,Progressive Pop,Classical Crossover,Pop Rock,J-Rock,Power Pop"
82,飛鶴 -Hizuru-,Hizuru,3.65,702,2017,"Chamber Jazz,Japanese Folk Music,Progressive Folk,Tribal Ambient,Chamber Folk,New Age"
83,Under the Force of Courage,Galneryus,3.63,525,2015,"Power Metal,Neoclassical Metal,Progressive Metal,Symphonic Metal"
84,For a Sick Boy,Yuyoyuppe ゆよゆっぺ,3.67,213,2010,"Melodic Metalcore,Alternative Metal,Electronicore"
85,The End,Keiichiro Shibuya 渋谷慶一郎 & Hatsune Miku 初音ミク,3.64,562,2013,"Glitch Pop,Glitch,Art Pop,Modern Classical,Electropop,Noise,Spoken Word,Micromontage"
86,アンチサイクロン (Anticyclone),inabakumori 稲葉曇,3.63,942,2019,"J-Rock,Yakousei,Indie Rock,Power Pop,Dance-Punk,Indietronica"
87,SIU,Maretu,3.67,249,2019,"Electronic,Picopop,J-Rock,Digital Hardcore,Brostep,Electronicore,Bitpop,Ska Punk"
88,バーチャル・ポップスター (Virtual Popstar),Mitchie M / Hatsune Miku 初音ミク,3.66,214,2019,"J-Pop,Electropop,Dance-Pop,Electronic Dance Music,Jazz Pop,Pop Rock"
89,燦々 (Sansan),Ayano Kaneko カネコアヤノ,3.63,1316,2019,"Indie Pop,Folk Rock,Singer-Songwriter,Jazz Pop,Indie Rock"
90,蝶になる夢を見た,Minuano,3.65,315,2019,"Jazz Pop,Shibuya-kei,City Pop"
91,うたびこ (Utabiko),Ichiko Aoba 青葉市子,3.62,2800,2012,"Contemporary Folk,Singer-Songwriter"
92,きくおミク4 (Kikuo Miku 4),Kikuo きくお,3.64,430,2014,"Art Pop,Jazz Pop,Folktronica,Progressive Pop,Wonky,Dubstep,Dark Cabaret"
93,Xièxie,Celer,3.61,2746,2019,"Ambient,Drone,Tape Music,Field Recordings"
94,I Love You ...,"Oh, Yoko",3.63,1089,2013,"Ambient Pop,Ambient,Field Recordings,Indietronica,Drone,Neo-Psychedelia"
95,Qujaku,Qujaku,3.63,557,2018,"Noise Rock,Experimental Rock,Post-Rock,Heavy Psych"
96,In Somniphobia,Sigh,3.6,1633,2012,"Avant-Garde Metal,Progressive Metal,Symphonic Metal,Black Metal"
97,Move,The Trio Project,3.63,567,2012,"Jazz Fusion,Jazz-Rock"
98,シンクロニシティーン (Synchroniciteen),Soutaiseiriron 相対性理論,3.62,1544,2010,"Indie Pop,Twee Pop,Jangle Pop,Indie Rock,Math Pop,J-Pop"
99,夢のまにまに,Siinamota 椎名もた,3.76,175,2012,"Electropop,Pop Rock,Drum and Bass"
100,"Autumn Is Coming, We're All in Slow Motion","Andrea Ferraris, Matteo Uggeri, Mujika Easel & Andrea Serrapiglio",3.62,608,2010,"Ambient,Field Recordings,Free Folk,Nature Recordings,Sound Collage,Musique concrète"
